Predictor,Score
HOMEPOS,0.495268287600045
ST253Q01JA,0.457648426725296
ESCS,0.457457510088974
ST255Q01JA,0.42839986946718
MATHEFF,0.373652189152945
HISEI,0.335219709357924
OECD,0.33115123827242
BMMJ1,0.32253071593861
ST256Q03JA,0.322154648849124
OCOD1,0.318006150417855
ICTRES,0.312946832229793
CNT,0.304042618912287
ST290Q09WA,0.303777056160049
ST251Q06JA,0.303467816047601
BFMJ2,0.298995950624743
ST250Q02JA,0.289973435495003
ST059Q02JA,0.283879712419282
ST268Q07JA,0.281276330482604
ST290Q05WA,0.279852003804528
ST251Q07JA,0.278394453475979
ST254Q03JA,0.275324554835874
ST251Q04JA,0.273510172829061
FAMCON,0.2710065332529
ST005Q01JA,0.270896014878762
OCOD2,0.270748714827528
ST256Q06JA,0.269688742049659
ST294Q03JA,0.262482468059302
ST290Q07WA,0.261804962988187
REPEAT,0.25826094355643
ST294Q05JA,0.246959188695345
ST007Q01JA,0.24652847142736
ST294Q04JA,0.245576164271228
ST290Q01WA,0.243391774552406
ST268Q04JA,0.242609444794554
CREATOOS,0.241955110697353
PAREDINT,0.240485835995116
ST006Q03JA,0.239750471487626
ST294Q02JA,0.23966425462456
ST250Q05JA,0.239307503610426
ST290Q03WA,0.238319318424797
ST230Q01JA,0.237285695499141
ST251Q01JA,0.236341749929542
ST256Q02JA,0.234126249205546
ST256Q08JA,0.23400587832715
ST258Q01JA,0.231812043893912
WORKPAY,0.229879843993195
ST349Q01JA,0.225724542624988
ST008Q03JA,0.220966409510986
ST256Q10JA,0.219048350344582
ST268Q01JA,0.216482706639529
MISCED,0.216327694851879
ST290Q02WA,0.214815794624468
ANXMAT,0.212612200446237
ST127Q01TA,0.212389967140285
FISCED,0.211446918038329
ST331Q02JA,0.2092143087444
Option_ICTQ,0.20728269227219
HISCED,0.206328595621502
ST295Q01JA,0.206191806989598
ST251Q03JA,0.205728730026965
ST290Q06WA,0.204508352049555
ST268Q09JA,0.202858054457066
ST256Q07JA,0.202231966275627
ST303Q05JA,0.199678295210704
CREATAS,0.198903482089583
ST292Q01JA,0.196459543716891
GRADE,0.195835865475005
ST268Q08JA,0.195581790170779
MISSSC,0.193805986785036
ST254Q06JA,0.192918273657228
IC180Q08JA,0.191678184822234
ST250Q03JA,0.187573984971824
ST292Q03JA,0.185910530657779
ST295Q04JA,0.184863592143037
OCOD3,0.181635077722765
ST347Q02JA,0.181270809356038
ST326Q05JA,0.179222279431926
ST339Q04JA,0.177721788432995
ST292Q02JA,0.17745774417607
IC180Q07JA,0.176766370646175
MATHEF21,0.175346178163898
ST127Q02TA,0.174687326206003
ST250Q04JA,0.171094100245669
ST292Q04JA,0.170876870508109
ST339Q06JA,0.169462833100104
ST342Q08JA,0.16778424980363
IC177Q05JA,0.164425949745127
MATHPREF,0.164131226724936
ST290Q08WA,0.162881959283244
IC183Q09JA,0.159036716863908
ST293Q02JA,0.158473402635219
ST296Q02JA,0.15844410237978
ST326Q06JA,0.158157140488041
IC177Q07JA,0.157834060338124
ICTEFFIC,0.157706476819814
PROBSELF,0.157360057334321
ST038Q10JA,0.156436772156338
IC180Q04JA,0.156340094628339
ST260Q01JA,0.155523897572881
DISCLIM,0.154645370943762
ST038Q11JA,0.153928816825877
ST260Q02JA,0.153905363462401
ST292Q06JA,0.152516029190745
ST038Q09JA,0.15159981746377
IC183Q08JA,0.150197459722495
ST345Q05JA,0.149951773225875
IC174Q02JA,0.149837089064715
ST327Q02JA,0.149003504560436
MATHEASE,0.148545212106491
FAMSUPSL,0.147233391586641
WORKHOME,0.146179159895064
ST034Q01TA,0.145924217801543
